Module,asco_connection,cancernet,practicecentral,tapur,volunteer
"Rules Bonus: Block (rb_block)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Rules Bonus: Miscellaneous (rb_misc)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Rules Bonus: Theme (rb_theme)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Rules Bonus: Think twice (rb_thinktwice)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Rules Bonus: Views (rb_views)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Rules Scheduler (rules_scheduler)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Search Autocomplete (search_autocomplete)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Apache Solr Access (apachesolr_access)","Not installed",Disabled,"Not installed","Not installed","Not installed"
"Apache Solr File (apachesolr_file)","Not installed",Disabled,"Not installed","Not installed","Not installed"
"Current Search Blocks (current_search)","Not installed",Disabled,"Not installed","Not installed","Not installed"
"Metatag Importer (metatag_importer)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Metatag: App Links (metatag_app_links)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Metatag: Context (metatag_context)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Metatag: Dublin Core (metatag_dc)","Not installed","Not installed","Not installed","Not installed","Not installed"
